Designator,Mid X,Mid Y,Rotation,Layer
SW1,70.95625,-49.525,0.0,top
SW10,128.10625,-70.95625,0.0,top
SW11,149.5375,-70.95625,0.0,top
SW12,49.525,-90.00625,0.0,top
SW13,70.95625,-90.00625,0.0,top
SW14,90.00625,-90.00625,0.0,top
SW15,109.05625,-90.00625,0.0,top
SW16,128.10625,-90.00625,0.0,top
SW17,149.5375,-90.00625,0.0,top
SW18,49.525,-109.05625,0.0,top
SW19,70.95625,-109.05625,0.0,top
SW2,90.00625,-49.525,0.0,top
SW20,90.00625,-109.05625,0.0,top
SW21,109.05625,-109.05625,0.0,top
SW22,128.10625,-109.05625,0.0,top
SW23,149.5375,-109.05625,0.0,top
SW24,49.525,-128.10625,0.0,top
SW25,70.95625,-128.10625,0.0,top
SW26,90.00625,-128.10625,0.0,top
SW27,109.05625,-128.10625,0.0,top
SW28,128.10625,-128.10625,0.0,top
SW29,149.5375,-128.10625,0.0,top
SW3,109.05625,-49.525,0.0,top
SW30,56.66875,-149.5375,0.0,top
SW31,90.00625,-149.5375,0.0,top
SW4,128.10625,-49.525,0.0,top
SW5,149.5375,-49.525,0.0,top
SW6,49.525,-70.95625,0.0,top
SW7,70.95625,-70.95625,0.0,top
SW8,90.00625,-70.95625,0.0,top
SW9,109.05625,-70.95625,0.0,top
SWe,132.86875,-149.5375,180.0,top
